Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,
Data,2,record,timestamp,"1070727511",s,distance,"98.62",m,accumulated_power,"1878",watts,speed,"8.323",m/s,power,"162",watts,enhanced_respiration_rate,"25.39",Breaths/min,heart_rate,"108",bpm,cadence,"82",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"179",,left_torque_effectiveness,"77.0",percent,right_torque_effectiveness,"86.0",percent,left_pedal_smoothness,"24.0",percent,right_pedal_smoothness,"25.5",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|206.7187532299805",degrees,left_power_phase_peak,"73.12500114257814|133.59375208740238",degrees,right_power_phase,"337.5000052734376|217.96875340576176",degrees,right_power_phase_peak,"63.28125098876955|123.75000193359378",degrees,enhanced_speed,"8.323",m/s,
Data,2,record,timestamp,"1070727512",s,distance,"106.94",m,accumulated_power,"2037",watts,speed,"8.323",m/s,power,"159",watts,enhanced_respiration_rate,"25.39",Breaths/min,heart_rate,"107",bpm,cadence,"82",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"179",,left_torque_effectiveness,"77.5",percent,right_torque_effectiveness,"80.0",percent,left_pedal_smoothness,"24.0",percent,right_pedal_smoothness,"24.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"347.3437554272462|205.31250320800785",degrees,left_power_phase_peak,"71.71875112060549|133.59375208740238",degrees,right_power_phase,"337.5000052734376|217.96875340576176",degrees,right_power_phase_peak,"63.28125098876955|123.75000193359378",degrees,enhanced_speed,"8.323",m/s,
Data,2,record,timestamp,"1070727513",s,distance,"115.24",m,accumulated_power,"2194",watts,speed,"8.304",m/s,power,"157",watts,enhanced_respiration_rate,"25.39",Breaths/min,heart_rate,"107",bpm,cadence,"82",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"181",,left_torque_effectiveness,"76.5",percent,right_torque_effectiveness,"78.5",percent,left_pedal_smoothness,"22.0",percent,right_pedal_smoothness,"23.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"347.3437554272462|205.31250320800785",degrees,left_power_phase_peak,"71.71875112060549|133.59375208740238",degrees,right_power_phase,"340.3125053173829|213.7500033398438",degrees,right_power_phase_peak,"64.68750101074221|126.5625019775391",degrees,enhanced_speed,"8.304",m/s,
Data,2,record,timestamp,"1070727514",s,distance,"123.54",m,accumulated_power,"2346",watts,speed,"8.295",m/s,power,"152",watts,enhanced_respiration_rate,"25.39",Breaths/min,heart_rate,"107",bpm,cadence,"82",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"181",,left_torque_effectiveness,"75.5",percent,right_torque_effectiveness,"78.0",percent,left_pedal_smoothness,"23.0",percent,right_pedal_smoothness,"23.5",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"348.75000544921886|201.0937531420899",degrees,left_power_phase_peak,"71.71875112060549|132.18750206542973",degrees,right_power_phase,"341.71875533935554|209.53125327392584",degrees,right_power_phase_peak,"64.68750101074221|127.96875199951175",degrees,enhanced_speed,"8.295",m/s,
Data,2,record,timestamp,"1070727515",s,distance,"131.77",m,accumulated_power,"2488",watts,speed,"8.23",m/s,power,"142",watts,enhanced_respiration_rate,"24.01",Breaths/min,heart_rate,"107",bpm,cadence,"83",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"180",,left_torque_effectiveness,"75.5",percent,right_torque_effectiveness,"78.0",percent,left_pedal_smoothness,"23.0",percent,right_pedal_smoothness,"23.5",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"350.1562554711915|199.68750312011724",degrees,left_power_phase_peak,"71.71875112060549|130.78125204345707",degrees,right_power_phase,"343.1250053613282|209.53125327392584",degrees,right_power_phase_peak,"61.87500096679689|126.5625019775391",degrees,enhanced_speed,"8.23",m/s,
Data,2,record,timestamp,"1070727516",s,distance,"139.87",m,accumulated_power,"2488",watts,speed,"8.099",m/s,power,"145",watts,enhanced_respiration_rate,"24.01",Breaths/min,heart_rate,"107",bpm,cadence,"83",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"182",,left_torque_effectiveness,"61.5",percent,right_torque_effectiveness,"82.0",percent,left_pedal_smoothness,"19.0",percent,right_pedal_smoothness,"25.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"350.1562554711915|199.68750312011724",degrees,left_power_phase_peak,"71.71875112060549|130.78125204345707",degrees,right_power_phase,"343.1250053613282|209.53125327392584",degrees,right_power_phase_peak,"61.87500096679689|126.5625019775391",degrees,enhanced_speed,"8.099",m/s,
Data,2,record,timestamp,"1070727517",s,distance,"147.9",m,accumulated_power,"2778",watts,speed,"8.034",m/s,power,"145",watts,enhanced_respiration_rate,"24.01",Breaths/min,heart_rate,"107",bpm,cadence,"88",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"180",,left_torque_effectiveness,"61.5",percent,right_torque_effectiveness,"82.0",percent,left_pedal_smoothness,"19.0",percent,right_pedal_smoothness,"25.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"350.1562554711915|199.68750312011724",degrees,left_power_phase_peak,"71.71875112060549|130.78125204345707",degrees,right_power_phase,"345.9375054052735|203.9062531860352",degrees,right_power_phase_peak,"61.87500096679689|122.34375191162113",degrees,enhanced_speed,"8.034",m/s,
Data,2,record,timestamp,"1070727518",s,distance,"155.95",m,accumulated_power,"2911",watts,speed,"8.034",m/s,power,"133",watts,enhanced_respiration_rate,"24.01",Breaths/min,heart_rate,"108",bpm,cadence,"89",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"181",,left_torque_effectiveness,"68.5",percent,right_torque_effectiveness,"75.5",percent,left_pedal_smoothness,"21.5",percent,right_pedal_smoothness,"23.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"343.1250053613282|201.0937531420899",degrees,left_power_phase_peak,"74.5312511645508|133.59375208740238",degrees,right_power_phase,"345.9375054052735|203.9062531860352",degrees,right_power_phase_peak,"61.87500096679689|122.34375191162113",degrees,enhanced_speed,"8.034",m/s,
Data,2,record,timestamp,"1070727519",s,distance,"164.01",m,accumulated_power,"3055",watts,speed,"8.071",m/s,power,"144",watts,enhanced_respiration_rate,"24.01",Breaths/min,heart_rate,"108",bpm,cadence,"89",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"180",,left_torque_effectiveness,"68.5",percent,right_torque_effectiveness,"75.5",percent,left_pedal_smoothness,"21.5",percent,right_pedal_smoothness,"23.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|201.0937531420899",degrees,left_power_phase_peak,"77.34375120849612|137.81250215332034",degrees,right_power_phase,"345.9375054052735|203.9062531860352",degrees,right_power_phase_peak,"61.87500096679689|122.34375191162113",degrees,enhanced_speed,"8.071",m/s,
Data,2,record,timestamp,"1070727520",s,distance,"172.07",m,accumulated_power,"3197",watts,speed,"8.062",m/s,power,"142",watts,enhanced_respiration_rate,"22.7",Breaths/min,heart_rate,"108",bpm,cadence,"89",rpm,resistance,"0",,temperature,"19",C,left_right_balance,"182",,left_torque_effectiveness,"67.5",percent,right_torque_effectiveness,"72.0",percent,left_pedal_smoothness,"21.0",percent,right_pedal_smoothness,"21.0",percent,fractional_cadence,"0.0",rpm,left_pco,"0",mm,right_pco,"0",mm,left_power_phase,"344.53125538330085|201.0937531420899",degrees,left_power_phase_peak,"77.34375120849612|137.81250215332034",degrees,right_power_phase,"338.90625529541023|203.9062531860352",degrees,right_power_phase_peak,"61.87500096679689|120.93750188964847",degrees,enhanced_speed,"8.062",m/s,
