record.timestamp[s],record.distance[m],record.accumulated_power[watts],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.resistance,record.temperature[C],record.left_right_balance,record.left_torque_effectiveness[percent],record.right_torque_effectiveness[percent],record.left_pedal_smoothness[percent],record.right_pedal_smoothness[percent],record.fractional_cadence[rpm],record.left_pco[mm],record.right_pco[mm],record.left_power_phase[degrees],record.left_power_phase_peak[degrees],record.right_power_phase[degrees],record.right_power_phase_peak[degrees],record.enhanced_speed[m/s],record.enhanced_respiration_rate[Breaths/min],
"1070727520","172.07","3197","8.062","142","108","89","0","19","182","67.5","72.0","21.0","21.0","0.0","0","0","344.53125538330085|201.0937531420899","77.34375120849612|137.81250215332034","338.90625529541023|203.9062531860352","61.87500096679689|120.93750188964847","8.062","22.7",
"1070727521","180.14","3351","8.071","154","108","89","0","19","181","71.0","74.5","21.5","22.0","0.0","0","0","344.53125538330085|199.68750312011724","75.93750118652346|136.40625213134769","338.90625529541023|203.9062531860352","63.28125098876955|122.34375191162113","8.071","22.7",
"1070727522","188.25","3499","8.108","148","109","89","0","19","181","71.0","74.5","21.5","22.0","0.0","0","0","344.53125538330085|199.68750312011724","74.5312511645508|133.59375208740238","338.90625529541023|205.31250320800785","63.28125098876955|122.34375191162113","8.108","22.7",
"1070727523","196.37","3651","8.118","152","109","90","0","19","181","70.5","74.5","22.5","22.0","0.0","0","0","344.53125538330085|202.50000316406255","73.12500114257814|132.18750206542973","338.90625529541023|205.31250320800785","64.68750101074221|123.75000193359378","8.118","22.7",
"1070727524","204.52","3789","8.155","138","110","90","0","19","183","66.5","71.0","21.0","21.5","0.0","0","0","344.53125538330085|202.50000316406255","73.12500114257814|132.18750206542973","338.90625529541023|203.9062531860352","64.68750101074221|123.75000193359378","8.155","22.7",
"1070727525","212.67","3933","8.146","144","110","89","0","19","181","69.0","69.5","21.5","20.0","0.0","0","0","344.53125538330085|202.50000316406255","73.12500114257814|132.18750206542973","340.3125053173829|203.9062531860352","63.28125098876955|122.34375191162113","8.146","22.7",
"1070727526","220.78","4077","8.118","144","111","89","0","19","179","71.0","68.5","21.5","20.0","0.0","0","0","344.53125538330085|201.0937531420899","67.50000105468752|129.37500202148442","340.3125053173829|203.9062531860352","63.28125098876955|122.34375191162113","8.118","24.58",
"1070727527","228.91","4240","8.127","163","112","90","0","19","181","67.5","64.5","21.5","19.0","0.0","0","0","344.53125538330085|201.0937531420899","67.50000105468752|129.37500202148442","336.0937552514649|202.50000316406255","61.87500096679689|120.93750188964847","8.127","24.58",
"1070727528","237.1","4392","8.192","152","112","90","0","19","183","67.0","73.0","21.0","23.0","0.0","0","0","343.1250053613282|201.0937531420899","66.09375103271486|126.5625019775391","336.0937552514649|203.9062531860352","60.46875094482424|120.93750188964847","8.192","24.58",
"1070727529","245.3","4534","8.183","142","113","90","0","19","183","67.0","73.0","21.0","23.0","0.0","0","0","343.1250053613282|199.68750312011724","67.50000105468752|126.5625019775391","338.90625529541023|202.50000316406255","61.87500096679689|122.34375191162113","8.183","24.58",
"1070727530","253.44","4682","8.146","148","114","90","0","19","179","66.0","71.0","20.0","20.0","0.0","0","0","344.53125538330085|199.68750312011724","68.90625107666017|127.96875199951175","338.90625529541023|202.50000316406255","61.87500096679689|122.34375191162113","8.146","24.26",
"1070727531","261.55","4816","8.118","134","114","89","0","19","179","68.0","63.0","21.0","18.0","0.0","0","0","345.9375054052735|198.2812530981446","68.90625107666017|127.96875199951175","340.3125053173829|201.0937531420899","61.87500096679689|122.34375191162113","8.118","24.26",
"1070727532","269.64","4957","8.08","141","115","89","0","19","181","68.0","63.0","21.0","18.0","0.0","0","0","345.9375054052735|198.2812530981446","70.31250109863284|130.78125204345707","340.3125053173829|199.68750312011724","60.46875094482424|122.34375191162113","8.08","24.26",
"1070727533","277.66","4957","8.034","135","115","89","0","19","179","63.5","63.0","20.0","17.5","0.0","0","0","347.3437554272462|196.87500307617194","75.93750118652346|136.40625213134769","344.53125538330085|201.0937531420899","63.28125098876955|122.34375191162113","8.034","24.26",
"1070727534","285.64","5227","7.968","135","114","88","0","19","176","69.0","67.5","22.0","20.0","0.0","0","0","348.75000544921886|198.2812530981446","75.93750118652346|135.00000210937503","344.53125538330085|201.0937531420899","64.68750101074221|123.75000193359378","7.968","24.26",
"1070727535","293.59","5362","7.959","135","115","87","0","19","179","73.0","71.0","22.0","21.5","0.0","0","0","348.75000544921886|198.2812530981446","75.93750118652346|135.00000210937503","344.53125538330085|201.0937531420899","64.68750101074221|123.75000193359378","7.959","23.26",
"1070727536","301.55","5499","7.959","137","114","88","0","19","179","73.0","71.0","22.0","21.5","0.0","0","0","345.9375054052735|201.0937531420899","78.75000123046877|140.62500219726567","343.1250053613282|202.50000316406255","67.50000105468752|126.5625019775391","7.959","23.26",
