record.timestamp[s],record.distance[m],record.accumulated_power[watts],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.resistance,record.temperature[C],record.left_right_balance,record.left_torque_effectiveness[percent],record.right_torque_effectiveness[percent],record.left_pedal_smoothness[percent],record.right_pedal_smoothness[percent],record.fractional_cadence[rpm],record.left_pco[mm],record.right_pco[mm],record.left_power_phase[degrees],record.left_power_phase_peak[degrees],record.right_power_phase[degrees],record.right_power_phase_peak[degrees],record.enhanced_speed[m/s],record.enhanced_respiration_rate[Breaths/min],
"1070728294","6404.7","116201","8.006","143","102","88","0","19","180","69.0","69.0","21.5","19.5","0.0","0","0","344.53125538330085|194.0625030322266","77.34375120849612|137.81250215332034","343.1250053613282|199.68750312011724","63.28125098876955|120.93750188964847","8.006","21.5",
"1070728295","6412.7","116340","7.996","139","102","88","0","19","180","70.5","65.5","22.0","19.5","0.0","0","0","344.53125538330085|194.0625030322266","77.34375120849612|137.81250215332034","341.71875533935554|198.2812530981446","61.87500096679689|120.93750188964847","7.996","21.42",
"1070728296","6420.68","116483","7.978","143","102","87","0","19","182","70.5","65.5","22.5","19.5","0.0","0","0","343.1250053613282|192.65625301025395","75.93750118652346|136.40625213134769","340.3125053173829|196.87500307617194","61.87500096679689|120.93750188964847","7.978","21.42",
"1070728297","6428.64","116628","7.968","145","102","88","0","19","184","71.0","73.0","22.5","20.5","0.0","0","0","343.1250053613282|194.0625030322266","75.93750118652346|135.00000210937503","340.3125053173829|199.68750312011724","63.28125098876955|120.93750188964847","7.968","21.42",
"1070728298","6436.65","116787","8.006","159","102","88","0","19","185","70.0","70.0","22.5","20.0","0.0","0","0","343.1250053613282|194.0625030322266","75.93750118652346|135.00000210937503","340.3125053173829|199.68750312011724","63.28125098876955|120.93750188964847","8.006","21.42",
"1070728299","6444.72","116936","8.071","149","103","89","0","19","181","67.5","70.0","21.0","20.0","0.0","0","0","343.1250053613282|194.0625030322266","73.12500114257814|132.18750206542973","340.3125053173829|199.68750312011724","63.28125098876955|120.93750188964847","8.071","21.42",
"1070728300","6452.79","117094","8.071","158","102","89","0","19","181","67.5","70.0","21.0","20.0","0.0","0","0","343.1250053613282|191.2500029882813","68.90625107666017|127.96875199951175","343.1250053613282|196.87500307617194","61.87500096679689|120.93750188964847","8.071","21.42",
"1070728301","6460.85","117233","8.062","139","103","89","0","19","181","66.0","69.5","21.0","19.5","0.0","0","0","343.1250053613282|191.2500029882813","68.90625107666017|127.96875199951175","344.53125538330085|196.87500307617194","61.87500096679689|120.93750188964847","8.062","21.76",
"1070728302","6468.87","117370","8.006","137","103","88","0","19","180","66.5","69.5","19.5","19.5","0.0","0","0","345.9375054052735|191.2500029882813","66.09375103271486|125.15625195556643","345.9375054052735|195.46875305419925","63.28125098876955|120.93750188964847","8.006","21.76",
"1070728303","6476.82","117511","7.959","141","104","87","0","19","178","72.0","67.0","23.5","19.0","0.0","0","0","344.53125538330085|194.0625030322266","74.5312511645508|135.00000210937503","344.53125538330085|195.46875305419925","64.68750101074221|122.34375191162113","7.959","21.76",
"1070728304","6484.78","117511","7.959","151","104","87","0","19","177","72.5","67.0","21.5","19.0","0.0","0","0","343.1250053613282|194.0625030322266","75.93750118652346|136.40625213134769","343.1250053613282|194.0625030322266","63.28125098876955|122.34375191162113","7.959","21.76",
"1070728305","6492.75","117813","7.968","151","104","88","0","19","183","63.5","67.0","20.5","19.0","0.0","0","0","343.1250053613282|192.65625301025395","71.71875112060549|130.78125204345707","343.1250053613282|194.0625030322266","63.28125098876955|122.34375191162113","7.968","21.99",
"1070728306","6500.81","117974","8.062","161","105","89","0","19","183","39.5","70.0","9.5","20.0","0.0","0","0","344.53125538330085|188.437502944336","70.31250109863284|129.37500202148442","343.1250053613282|194.0625030322266","63.28125098876955|122.34375191162113","8.062","21.99",
"1070728307","6508.88","118098","8.071","124","105","88","0","19","184","65.0","58.5","21.5","17.0","0.0","0","0","344.53125538330085|188.437502944336","70.31250109863284|129.37500202148442","343.1250053613282|191.2500029882813","60.46875094482424|118.12500184570315","8.071","21.99",
"1070728308","6516.85","118229","7.968","131","105","87","0","19","184","65.0","58.5","21.5","17.0","0.0","0","0","344.53125538330085|188.437502944336","70.31250109863284|127.96875199951175","343.1250053613282|191.2500029882813","60.46875094482424|122.34375191162113","7.968","21.99",
"1070728309","6524.7","118365","7.856","136","105","86","0","19","184","69.0","66.0","22.5","22.0","0.0","0","0","341.71875533935554|191.2500029882813","71.71875112060549|130.78125204345707","340.3125053173829|195.46875305419925","61.87500096679689|122.34375191162113","7.856","21.99",
"1070728310","6532.53","118517","7.828","152","104","86","0","19","183","68.5","72.0","23.0","22.0","0.0","0","0","340.3125053173829|192.65625301025395","73.12500114257814|132.18750206542973","340.3125053173829|198.2812530981446","61.87500096679689|120.93750188964847","7.828","24.11",
"1070728311","6540.41","118517","7.875","142","105","86","0","19","184","72.0","71.5","21.0","21.0","0.0","0","0","338.90625529541023|194.0625030322266","74.5312511645508|135.00000210937503","340.3125053173829|201.0937531420899","60.46875094482424|119.5312518676758","7.875","24.11",
"1070728312","6548.34","118801","7.912","142","105","87","0","19","181","70.0","71.5","22.0","21.0","0.0","0","0","340.3125053173829|194.0625030322266","74.5312511645508|132.18750206542973","337.5000052734376|201.0937531420899","60.46875094482424|119.5312518676758","7.912","24.11",
"1070728313","6556.21","118942","7.894","141","105","87","0","19","181","70.0","71.5","22.0","21.0","0.0","0","0","340.3125053173829|192.65625301025395","73.12500114257814|130.78125204345707","337.5000052734376|201.0937531420899","60.46875094482424|119.5312518676758","7.894","24.11",
"1070728314","6564.12","119089","7.903","147","105","87","0","19","182","70.5","71.5","22.0","22.0","0.0","0","0","340.3125053173829|192.65625301025395","73.12500114257814|130.78125204345707","337.5000052734376|196.87500307617194","63.28125098876955|120.93750188964847","7.903","24.11",
"1070728315","6572.07","119235","7.95","146","106","87","0","19","180","72.0","75.0","22.0","22.5","0.0","0","0","340.3125053173829|192.65625301025395","73.12500114257814|130.78125204345707","340.3125053173829|196.87500307617194","63.28125098876955|120.93750188964847","7.95","24.34",
"1070728316","6580.1","119392","8.024","157","106","88","0","19","180","72.0","75.0","22.0","22.5","0.0","0","0","341.71875533935554|196.87500307617194","74.5312511645508|133.59375208740238","341.71875533935554|199.68750312011724","63.28125098876955|120.93750188964847","8.024","24.34",
"1070728317","6588.21","119548","8.108","156","106","89","0","19","181","73.0","71.0","21.5","21.5","0.0","0","0","341.71875533935554|195.46875305419925","73.12500114257814|130.78125204345707","341.71875533935554|198.2812530981446","61.87500096679689|120.93750188964847","8.108","24.34",
"1070728318","6596.32","119695","8.118","147","107","89","0","19","182","64.5","71.0","18.5","21.5","0.0","0","0","341.71875533935554|194.0625030322266","70.31250109863284|129.37500202148442","341.71875533935554|196.87500307617194","63.28125098876955|120.93750188964847","8.118","24.34",
"1070728319","6604.43","119835","8.108","140","107","89","0","19","182","63.0","70.0","19.0","21.5","0.0","0","0","343.1250053613282|194.0625030322266","70.31250109863284|129.37500202148442","341.71875533935554|195.46875305419925","63.28125098876955|122.34375191162113","8.108","24.34",
"1070728320","6612.48","119975","8.052","140","108","88","0","19","182","63.0","68.0","19.0","21.5","0.0","0","0","341.71875533935554|194.0625030322266","68.90625107666017|127.96875199951175","341.71875533935554|195.46875305419925","63.28125098876955|122.34375191162113","8.052","25.67",
"1070728321","6620.48","120124","8.006","149","107","88","0","19","179","65.5","71.0","19.0","21.5","0.0","0","0","341.71875533935554|194.0625030322266","68.90625107666017|127.96875199951175","340.3125053173829|192.65625301025395","64.68750101074221|123.75000193359378","8.006","25.67",
"1070728322","6628.49","120268","8.006","144","107","88","0","19","179","65.0","70.0","20.0","21.0","0.0","0","0","341.71875533935554|194.0625030322266","67.50000105468752|127.96875199951175","338.90625529541023|192.65625301025395","64.68750101074221|123.75000193359378","8.006","25.67",
"1070728323","6636.5","120417","8.015","149","107","88","0","19","179","65.0","70.0","20.0","21.0","0.0","0","0","343.1250053613282|194.0625030322266","68.90625107666017|130.78125204345707","338.90625529541023|194.0625030322266","64.68750101074221|122.34375191162113","8.015","25.67",
"1070728324","6644.53","120563","8.024","146","108","88","0","19","179","66.0","70.0","20.5","21.0","0.0","0","0","343.1250053613282|195.46875305419925","70.31250109863284|130.78125204345707","340.3125053173829|195.46875305419925","64.68750101074221|122.34375191162113","8.024","25.67",
"1070728325","6652.6","120711","8.062","148","109","89","0","19","180","68.0","68.5","20.0","21.0","0.0","0","0","341.71875533935554|195.46875305419925","68.90625107666017|127.96875199951175","341.71875533935554|195.46875305419925","63.28125098876955|122.34375191162113","8.062","24.99",
"1070728326","6660.64","120852","8.052","141","110","88","0","19","182","64.0","68.5","19.5","21.0","0.0","0","0","340.3125053173829|194.0625030322266","68.90625107666017|127.96875199951175","338.90625529541023|194.0625030322266","63.28125098876955|122.34375191162113","8.052","24.99",
"1070728327","6668.69","120996","8.043","144","110","88","0","19","182","60.0","66.5","17.5","20.0","0.0","0","0","341.71875533935554|194.0625030322266","70.31250109863284|129.37500202148442","338.90625529541023|194.0625030322266","63.28125098876955|122.34375191162113","8.043","24.99",
"1070728328","6676.72","120996","8.034","138","109","88","0","19","182","62.0","70.0","20.0","21.0","0.0","0","0","341.71875533935554|194.0625030322266","70.31250109863284|129.37500202148442","338.90625529541023|195.46875305419925","60.46875094482424|119.5312518676758","8.034","24.99",
"1070728329","6684.73","121272","8.006","138","109","88","0","19","182","63.0","71.0","19.5","21.5","0.0","0","0","340.3125053173829|192.65625301025395","71.71875112060549|130.78125204345707","338.90625529541023|196.87500307617194","60.46875094482424|119.5312518676758","8.006","24.99",
"1070728330","6692.71","121418","7.987","146","108","88","0","19","182","63.0","71.0","19.5","21.5","0.0","0","0","341.71875533935554|194.0625030322266","71.71875112060549|132.18750206542973","343.1250053613282|198.2812530981446","63.28125098876955|120.93750188964847","7.987","26.11",
"1070728331","6700.73","121564","8.006","146","107","88","0","19","182","61.5","71.0","18.0","21.5","0.0","0","0","344.53125538330085|195.46875305419925","71.71875112060549|130.78125204345707","343.1250053613282|198.2812530981446","63.28125098876955|120.93750188964847","8.006","26.11",
"1070728332","6708.72","121704","8.006","140","107","88","0","19","179","65.5","71.5","20.0","21.0","0.0","0","0","344.53125538330085|194.0625030322266","71.71875112060549|130.78125204345707","344.53125538330085|196.87500307617194","60.46875094482424|118.12500184570315","8.006","26.11",
"1070728333","6716.73","121848","8.006","144","107","88","0","19","181","65.5","71.5","20.0","21.0","0.0","0","0","343.1250053613282|194.0625030322266","71.71875112060549|130.78125204345707","341.71875533935554|196.87500307617194","63.28125098876955|120.93750188964847","8.006","26.11",
"1070728334","6724.75","121991","8.015","143","107","88","0","19","180","65.5","71.5","20.0","21.0","0.0","0","0","341.71875533935554|195.46875305419925","70.31250109863284|127.96875199951175","341.71875533935554|198.2812530981446","64.68750101074221|123.75000193359378","8.015","26.11",
"1070728335","6732.76","122135","8.015","144","107","88","0","19","184","62.0","70.5","18.5","20.5","0.0","0","0","341.71875533935554|195.46875305419925","68.90625107666017|126.5625019775391","341.71875533935554|198.2812530981446","64.68750101074221|123.75000193359378","8.015","24.1",
"1070728336","6740.78","122283","8.015","148","106","88","0","19","180","66.0","70.5","19.0","20.5","0.0","0","0","341.71875533935554|195.46875305419925","68.90625107666017|126.5625019775391","341.71875533935554|198.2812530981446","64.68750101074221|123.75000193359378","8.015","24.1",
"1070728337","6748.79","122422","8.015","139","105","88","0","19","180","66.0","70.5","19.0","20.5","0.0","0","0","344.53125538330085|195.46875305419925","66.09375103271486|123.75000193359378","344.53125538330085|196.87500307617194","66.09375103271486|125.15625195556643","8.015","24.1",
"1070728338","6756.81","122564","8.015","142","105","88","0","19","182","66.0","70.5","19.0","20.5","0.0","0","0","345.9375054052735|196.87500307617194","68.90625107666017|127.96875199951175","345.9375054052735|196.87500307617194","66.09375103271486|125.15625195556643","8.015","24.1",
"1070728339","6764.81","122711","8.006","147","105","88","0","19","182","63.0","66.5","18.0","19.5","0.0","0","0","345.9375054052735|195.46875305419925","71.71875112060549|129.37500202148442","345.9375054052735|196.87500307617194","66.09375103271486|123.75000193359378","8.006","24.1",
"1070728340","6772.85","122855","8.034","144","105","88","0","19","183","67.0","68.5","20.5","18.5","0.0","0","0","347.3437554272462|195.46875305419925","71.71875112060549|130.78125204345707","345.9375054052735|196.87500307617194","64.68750101074221|122.34375191162113","8.034","23.54",
"1070728341","6780.87","122999","8.024","144","105","88","0","19","180","73.5","68.5","22.0","18.5","0.0","0","0","345.9375054052735|196.87500307617194","75.93750118652346|135.00000210937503","344.53125538330085|198.2812530981446","66.09375103271486|123.75000193359378","8.024","23.54",
"1070728342","6788.9","123149","8.034","150","105","88","0","19","182","70.5","71.0","20.5","20.5","0.0","0","0","343.1250053613282|198.2812530981446","75.93750118652346|135.00000210937503","341.71875533935554|199.68750312011724","67.50000105468752|125.15625195556643","8.034","23.54",
"1070728343","6796.97","123294","8.062","145","105","89","0","19","181","70.5","71.0","20.5","20.5","0.0","0","0","341.71875533935554|198.2812530981446","75.93750118652346|135.00000210937503","341.71875533935554|199.68750312011724","67.50000105468752|125.15625195556643","8.062","23.54",
"1070728344","6805.01","123435","8.043","141","106","88","0","19","185","69.5","73.0","21.5","21.5","0.0","0","0","341.71875533935554|198.2812530981446","75.93750118652346|135.00000210937503","338.90625529541023|201.0937531420899","63.28125098876955|122.34375191162113","8.043","23.54",
"1070728345","6813.03","123575","8.024","140","107","88","0","19","183","69.5","68.5","22.0","19.5","0.0","0","0","341.71875533935554|198.2812530981446","75.93750118652346|135.00000210937503","338.90625529541023|202.50000316406255","63.28125098876955|122.34375191162113","8.024","23.57",
"1070728346","6821.05","123719","8.015","144","107","88","0","19","183","69.5","68.5","22.0","19.5","0.0","0","0","341.71875533935554|196.87500307617194","77.34375120849612|135.00000210937503","338.90625529541023|199.68750312011724","64.68750101074221|123.75000193359378","8.015","23.57",
"1070728347","6829.07","123867","8.024","148","107","88","0","19","181","74.0","67.5","23.5","19.5","0.0","0","0","344.53125538330085|198.2812530981446","74.5312511645508|133.59375208740238","337.5000052734376|199.68750312011724","66.09375103271486|123.75000193359378","8.024","23.57",
"1070728348","6837.12","123867","8.043","151","108","88","0","19","183","73.0","70.0","23.5","20.5","0.0","0","0","343.1250053613282|198.2812530981446","74.5312511645508|135.00000210937503","337.5000052734376|202.50000316406255","63.28125098876955|123.75000193359378","8.043","23.57",
"1070728349","6845.2","124169","8.062","151","108","89","0","19","182","73.0","70.5","22.0","20.0","0.0","0","0","341.71875533935554|199.68750312011724","73.12500114257814|133.59375208740238","337.5000052734376|202.50000316406255","63.28125098876955|123.75000193359378","8.062","23.57",
"1070728350","6853.24","124310","8.062","141","108","88","0","19","181","72.5","72.5","24.0","21.5","0.0","0","0","338.90625529541023|199.68750312011724","75.93750118652346|137.81250215332034","337.5000052734376|202.50000316406255","63.28125098876955|123.75000193359378","8.062","25.16",
"1070728351","6861.26","124450","8.015","140","108","88","0","19","182","70.5","72.0","24.0","21.0","0.0","0","0","337.5000052734376|199.68750312011724","77.34375120849612|139.218752175293","337.5000052734376|202.50000316406255","63.28125098876955|123.75000193359378","8.015","25.16",
"1070728352","6869.25","124596","7.996","146","109","88","0","19","183","69.5","68.0","22.5","21.5","0.0","0","0","337.5000052734376|199.68750312011724","77.34375120849612|139.218752175293","334.6875052294923|203.9062531860352","66.09375103271486|125.15625195556643","7.996","25.16",
"1070728353","6877.25","124739","7.996","143","109","88","0","19","183","68.0","69.0","21.0","19.5","0.0","0","0","338.90625529541023|198.2812530981446","75.93750118652346|136.40625213134769","337.5000052734376|203.9062531860352","66.09375103271486|126.5625019775391","7.996","25.16",
"1070728354","6885.23","124878","7.978","139","110","88","0","19","185","68.0","69.0","21.0","19.5","0.0","0","0","343.1250053613282|196.87500307617194","73.12500114257814|132.18750206542973","340.3125053173829|201.0937531420899","63.28125098876955|122.34375191162113","7.978","25.16",
"1070728355","6893.2","125018","7.978","140","110","87","0","19","183","68.0","69.0","21.0","19.5","0.0","0","0","344.53125538330085|196.87500307617194","73.12500114257814|132.18750206542973","340.3125053173829|201.0937531420899","61.87500096679689|120.93750188964847","7.978","23.86",
"1070728356","6901.11","125163","7.912","145","109","87","0","19","183","70.0","70.0","23.5","20.0","0.0","0","0","345.9375054052735|196.87500307617194","73.12500114257814|132.18750206542973","340.3125053173829|199.68750312011724","66.09375103271486|123.75000193359378","7.912","23.86",
"1070728357","6909.04","125312","7.922","149","108","87","0","19","179","74.0","70.0","23.0","20.0","0.0","0","0","344.53125538330085|194.0625030322266","71.71875112060549|130.78125204345707","341.71875533935554|198.2812530981446","66.09375103271486|123.75000193359378","7.922","23.86",
"1070728358","6917.02","125312","7.987","156","108","87","0","19","182","74.0","70.0","23.0","20.0","0.0","0","0","343.1250053613282|194.0625030322266","70.31250109863284|127.96875199951175","341.71875533935554|198.2812530981446","66.09375103271486|123.75000193359378","7.987","23.86",
"1070728359","6925.09","125624","8.062","156","107","88","0","19","184","69.5","70.0","22.0","19.5","0.0","0","0","343.1250053613282|194.0625030322266","70.31250109863284|127.96875199951175","343.1250053613282|196.87500307617194","66.09375103271486|123.75000193359378","8.062","23.86",
"1070728360","6933.17","125771","8.08","147","107","89","0","19","184","71.0","70.0","22.0","19.5","0.0","0","0","343.1250053613282|194.0625030322266","70.31250109863284|127.96875199951175","344.53125538330085|196.87500307617194","66.09375103271486|123.75000193359378","8.08","22.99",
"1070728361","6941.23","125915","8.062","144","107","88","0","19","181","71.0","70.0","22.0","19.5","0.0","0","0","341.71875533935554|195.46875305419925","68.90625107666017|127.96875199951175","344.53125538330085|198.2812530981446","64.68750101074221|123.75000193359378","8.062","22.99",
"1070728362","6949.26","126056","8.034","141","108","88","0","19","184","69.5","68.5","23.0","20.5","0.0","0","0","341.71875533935554|195.46875305419925","71.71875112060549|130.78125204345707","343.1250053613282|198.2812530981446","64.68750101074221|123.75000193359378","8.034","22.99",
"1070728363","6957.23","126192","7.968","136","107","88","0","19","184","69.0","71.5","23.0","20.5","0.0","0","0","343.1250053613282|195.46875305419925","71.71875112060549|130.78125204345707","343.1250053613282|198.2812530981446","64.68750101074221|123.75000193359378","7.968","22.99",
"1070728364","6965.19","126330","7.959","138","108","87","0","19","179","69.0","71.5","23.0","20.5","0.0","0","0","343.1250053613282|195.46875305419925","71.71875112060549|130.78125204345707","341.71875533935554|198.2812530981446","61.87500096679689|119.5312518676758","7.959","22.99",
"1070728365","6973.15","126330","7.959","150","107","87","0","19","179","71.0","69.0","21.5","20.5","0.0","0","0","341.71875533935554|196.87500307617194","71.71875112060549|129.37500202148442","341.71875533935554|198.2812530981446","61.87500096679689|119.5312518676758","7.959","21.63",
"1070728366","6981.13","126630","7.959","150","108","88","0","19","183","71.0","69.0","21.5","20.5","0.0","0","0","341.71875533935554|196.87500307617194","71.71875112060549|129.37500202148442","340.3125053173829|202.50000316406255","63.28125098876955|120.93750188964847","7.959","21.63",
"1070728367","6989.11","126771","8.006","141","108","88","0","19","183","69.5","73.0","22.0","22.0","0.0","0","0","341.71875533935554|196.87500307617194","73.12500114257814|132.18750206542973","337.5000052734376|203.9062531860352","63.28125098876955|122.34375191162113","8.006","21.63",
"1070728368","6997.12","126918","8.006","147","109","88","0","19","182","69.5","73.0","22.0","22.0","0.0","0","0","340.3125053173829|195.46875305419925","75.93750118652346|135.00000210937503","336.0937552514649|202.50000316406255","64.68750101074221|122.34375191162113","8.006","21.63",
"1070728369","7005.18","127072","8.062","154","109","89","0","19","181","71.0","69.5","23.0","21.0","0.0","0","0","341.71875533935554|195.46875305419925","73.12500114257814|133.59375208740238","338.90625529541023|199.68750312011724","64.68750101074221|123.75000193359378","8.062","21.63",
"1070728370","7013.27","127221","8.09","149","109","89","0","19","181","69.0","69.5","20.5","21.0","0.0","0","0","341.71875533935554|195.46875305419925","71.71875112060549|132.18750206542973","338.90625529541023|198.2812530981446","64.68750101074221|122.34375191162113","8.09","21.11",
"1070728371","7021.37","127365","8.099","144","109","89","0","19","181","67.0","72.0","20.0","21.5","0.0","0","0","341.71875533935554|194.0625030322266","70.31250109863284|129.37500202148442","338.90625529541023|198.2812530981446","64.68750101074221|122.34375191162113","8.099","21.11",
"1070728372","7029.43","127500","8.062","135","109","88","0","19","181","62.0","72.0","19.0","21.5","0.0","0","0","341.71875533935554|194.0625030322266","67.50000105468752|126.5625019775391","343.1250053613282|196.87500307617194","64.68750101074221|123.75000193359378","8.062","21.11",
"1070728373","7037.44","127637","8.006","137","108","88","0","19","183","62.5","71.0","19.0","22.5","0.0","0","0","343.1250053613282|194.0625030322266","68.90625107666017|126.5625019775391","341.71875533935554|196.87500307617194","63.28125098876955|122.34375191162113","8.006","21.11",
"1070728374","7045.42","127782","7.987","145","108","88","0","19","182","65.0","71.0","19.0","22.5","0.0","0","0","343.1250053613282|194.0625030322266","68.90625107666017|126.5625019775391","341.71875533935554|196.87500307617194","63.28125098876955|122.34375191162113","7.987","21.11",
"1070728375","7053.41","127926","7.987","144","107","88","0","19","182","65.0","71.0","19.0","22.5","0.0","0","0","344.53125538330085|192.65625301025395","71.71875112060549|129.37500202148442","341.71875533935554|196.87500307617194","63.28125098876955|122.34375191162113","7.987","21.16",
"1070728376","7061.41","128068","7.996","142","106","88","0","19","182","62.5","71.5","19.5","21.5","0.0","0","0","344.53125538330085|192.65625301025395","68.90625107666017|127.96875199951175","343.1250053613282|196.87500307617194","63.28125098876955|122.34375191162113","7.996","21.16",
"1070728377","7069.38","128208","7.978","140","106","88","0","19","180","64.0","69.5","19.0","21.0","0.0","0","0","345.9375054052735|195.46875305419925","71.71875112060549|130.78125204345707","343.1250053613282|196.87500307617194","63.28125098876955|122.34375191162113","7.978","21.16",
"1070728378","7077.35","128348","7.968","140","105","87","0","19","179","65.0","69.0","19.5","20.5","0.0","0","0","345.9375054052735|195.46875305419925","73.12500114257814|132.18750206542973","343.1250053613282|196.87500307617194","64.68750101074221|122.34375191162113","7.968","21.16",
"1070728379","7085.28","128486","7.931","138","105","87","0","19","180","63.0","69.0","20.0","20.5","0.0","0","0","343.1250053613282|195.46875305419925","67.50000105468752|127.96875199951175","341.71875533935554|196.87500307617194","66.09375103271486|123.75000193359378","7.931","21.16",
"1070728380","7093.21","128623","7.922","137","105","87","0","19","180","64.0","68.5","19.0","21.0","0.0","0","0","344.53125538330085|196.87500307617194","68.90625107666017|127.96875199951175","343.1250053613282|196.87500307617194","64.68750101074221|122.34375191162113","7.922","22.37",
"1070728381","7101.18","128782","7.978","159","104","87","0","19","178","71.0","67.5","22.5","22.0","0.0","0","0","344.53125538330085|198.2812530981446","68.90625107666017|129.37500202148442","343.1250053613282|196.87500307617194","64.68750101074221|122.34375191162113","7.978","22.37",
"1070728382","7109.2","128926","8.015","144","105","88","0","19","179","65.0","71.0","19.5","23.0","0.0","0","0","344.53125538330085|198.2812530981446","68.90625107666017|129.37500202148442","343.1250053613282|196.87500307617194","64.68750101074221|122.34375191162113","8.015","22.37",
"1070728383","7117.21","129071","8.015","145","105","88","0","19","179","61.0","67.0","18.5","21.5","0.0","0","0","343.1250053613282|196.87500307617194","63.28125098876955|125.15625195556643","341.71875533935554|198.2812530981446","66.09375103271486|125.15625195556643","8.015","22.37",
"1070728384","7125.24","129209","8.024","138","104","88","0","19","179","61.0","67.0","18.5","21.5","0.0","0","0","343.1250053613282|195.46875305419925","64.68750101074221|126.5625019775391","341.71875533935554|198.2812530981446","66.09375103271486|123.75000193359378","8.024","22.37",
"1070728385","7133.22","129346","7.978","137","105","88","0","19","182","60.0","67.0","19.5","21.5","0.0","0","0","344.53125538330085|195.46875305419925","68.90625107666017|130.78125204345707","340.3125053173829|196.87500307617194","63.28125098876955|120.93750188964847","7.978","21.61",
"1070728386","7141.2","129498","7.987","152","105","88","0","19","179","64.0","67.5","18.5","21.5","0.0","0","0","343.1250053613282|195.46875305419925","68.90625107666017|129.37500202148442","341.71875533935554|198.2812530981446","64.68750101074221|122.34375191162113","7.987","21.61",
"1070728387","7149.19","129636","7.987","138","105","88","0","19","182","61.5","69.5","19.5","21.5","0.0","0","0","344.53125538330085|196.87500307617194","67.50000105468752|127.96875199951175","341.71875533935554|198.2812530981446","64.68750101074221|122.34375191162113","7.987","21.61",
"1070728388","7157.14","129774","7.95","138","106","87","0","19","183","62.5","67.5","20.0","22.0","0.0","0","0","344.53125538330085|196.87500307617194","74.5312511645508|136.40625213134769","343.1250053613282|196.87500307617194","66.09375103271486|123.75000193359378","7.95","21.61",
"1070728389","7165.07","129774","7.931","140","106","87","0","19","181","64.5","67.5","19.0","22.0","0.0","0","0","344.53125538330085|196.87500307617194","74.5312511645508|136.40625213134769","340.3125053173829|196.87500307617194","66.09375103271486|125.15625195556643","7.931","21.61",
"1070728390","7173.0","130054","7.931","140","106","87","0","19","179","65.0","70.0","20.5","20.5","0.0","0","0","344.53125538330085|196.87500307617194","75.93750118652346|137.81250215332034","340.3125053173829|196.87500307617194","66.09375103271486|123.75000193359378","7.931","21.61",
"1070728391","7180.94","130188","7.94","134","106","87","0","19","179","65.0","70.0","20.5","20.5","0.0","0","0","344.53125538330085|196.87500307617194","73.12500114257814|133.59375208740238","341.71875533935554|196.87500307617194","64.68750101074221|123.75000193359378","7.94","23.85",
"1070728392","7188.88","130324","7.94","136","106","87","0","19","181","64.0","65.5","20.5","19.5","0.0","0","0","344.53125538330085|195.46875305419925","73.12500114257814|135.00000210937503","344.53125538330085|198.2812530981446","66.09375103271486|123.75000193359378","7.94","23.85",
"1070728393","7196.8","130466","7.912","142","106","87","0","19","180","63.5","65.5","19.5","19.5","0.0","0","0","341.71875533935554|195.46875305419925","70.31250109863284|133.59375208740238","341.71875533935554|198.2812530981446","67.50000105468752|126.5625019775391","7.912","23.85",
"1070728394","7204.72","130621","7.922","155","106","88","0","19","182","65.0","67.5","19.0","19.5","0.0","0","0","344.53125538330085|195.46875305419925","67.50000105468752|127.96875199951175","341.71875533935554|196.87500307617194","64.68750101074221|123.75000193359378","7.922","23.85",
"1070728395","7212.64","130778","7.922","157","106","89","0","19","182","66.0","66.5","19.0","18.5","0.0","0","0","344.53125538330085|195.46875305419925","67.50000105468752|127.96875199951175","341.71875533935554|196.87500307617194","64.68750101074221|123.75000193359378","7.922","24.56",
"1070728396","7220.72","130943","8.08","165","106","89","0","19","182","70.0","66.5","21.0","18.5","0.0","0","0","344.53125538330085|195.46875305419925","67.50000105468752|127.96875199951175","344.53125538330085|196.87500307617194","64.68750101074221|123.75000193359378","8.08","24.56",
"1070728397","7228.86","131089","8.136","146","107","89","0","19","182","67.0","68.5","20.0","19.5","0.0","0","0","344.53125538330085|195.46875305419925","70.31250109863284|129.37500202148442","344.53125538330085|196.87500307617194","64.68750101074221|122.34375191162113","8.136","24.56",
"1070728398","7236.96","131241","8.108","152","108","89","0","19","182","67.0","68.5","20.0","19.5","0.0","0","0","344.53125538330085|195.46875305419925","70.31250109863284|129.37500202148442","343.1250053613282|198.2812530981446","63.28125098876955|122.34375191162113","8.108","24.56",
"1070728399","7245.05","131387","8.09","146","109","89","0","19","185","67.5","72.0","21.0","20.5","0.0","0","0","343.1250053613282|194.0625030322266","77.34375120849612|139.218752175293","340.3125053173829|199.68750312011724","61.87500096679689|120.93750188964847","8.09","24.56",
"1070728400","7253.1","131516","8.043","129","108","88","0","19","182","64.0","75.0","19.5","21.5","0.0","0","0","344.53125538330085|194.0625030322266","75.93750118652346|137.81250215332034","341.71875533935554|196.87500307617194","63.28125098876955|122.34375191162113","8.043","23.46",
"1070728401","7261.1","131664","8.006","148","108","88","0","19","185","59.0","63.5","17.5","17.5","0.0","0","0","344.53125538330085|194.0625030322266","71.71875112060549|132.18750206542973","341.71875533935554|195.46875305419925","63.28125098876955|122.34375191162113","8.006","23.46",
